149;2580;Cordoba;Marcos Juarez
150;2580;Cordoba;Pueblo Argentino
151;2581;Cordoba;C 25 Los Surgentes
152;2581;Cordoba;Los Surgentes
153;2581;Cordoba;P Carlos Sauveran
154;2581;Cordoba;Pueblo Rio Tercero
155;2583;Cordoba;General Baldissera
156;2585;Cordoba;Camilo Aldao
157;2586;Cordoba;Camilo Aldao
158;2587;Cordoba;Enfermera Kelly
159;2587;Cordoba;Inriville
160;2588;Cordoba;Saladillo
161;2589;Cordoba;Monte Buey
162;2592;Cordoba;C Veinticinco
163;2592;Cordoba;General Roca
164;2594;Cordoba;Barrio La Fortuna
165;2594;Cordoba;Colonia El Chaja
166;2594;Cordoba;La Reduccion
167;2594;Cordoba;Leones
168;2600;Cordoba;Boca P 25
169;2600;Cordoba;Chateaubriand
170;2600;Cordoba;Rabiola
171;2619;Cordoba;Km 57
172;2624;Cordoba;Arias
173;2625;Cordoba;Cavanagh
174;2625;Cordoba;Desvio Km 57
175;2627;Cordoba;Pueblo Gambande
176;2627;Cordoba;Guatimozin
177;2630;Cordoba;Villa Fredickson
178;2630;Cordoba;Villa Regules
179;2631;Cordoba;V Divisa De Mayo
180;2644;Cordoba;Cap Gral Bernardo O Higins
181;2645;Cordoba;Colonia Progreso
182;2645;Cordoba;Corral De Bustos
183;2645;Cordoba;O'Higgins
184;2646;Cordoba;Colonia Italiana
185;2650;Cordoba;Canals
186;2650;Cordoba;Colonia La Lola
187;2651;Cordoba;Colonia Bremen
188;2651;Cordoba;El Dorado
189;2651;Cordoba;El Porvenir
190;2651;Cordoba;La Italiana
191;2651;Cordoba;Santa Maria
192;2651;Cordoba;Colonia Bismar
193;2651;Cordoba;General Viamonte
194;2651;Cordoba;Viamonte
195;2652;Cordoba;Colonia Bismarck
196;2653;Cordoba;Pueblo Italiano
197;2655;Cordoba;W. Escalante
198;2655;Cordoba;Wenceslao Escalante
199;2657;Cordoba;Laborde
200;2659;Cordoba;Colonia Barge
201;2659;Cordoba;Matacos
202;2659;Cordoba;Monte Maiz
203;2660;Cordoba;Isla Verde
204;2661;Cordoba;Cortaderas
205;2661;Cordoba;Isla Verde
206;2662;Cordoba;Alejo Ledesma
207;2662;Cordoba;Bajo Del Burro
208;2662;Cordoba;C Ballesteros
209;2662;Cordoba;Colonia Ledesma
210;2663;Cordoba;Alejo Ledesma
211;2664;Cordoba;Benjamin Gould
212;2664;Cordoba;San Meliton
213;2670;Cordoba;La Carlota
214;2671;Cordoba;Assunta
215;2671;Cordoba;Barreto
216;2671;Cordoba;Pedro E Funes
217;2671;Cordoba;Santa Eufemia
218;2671;Cordoba;Viamonte
219;2675;Cordoba;Chazon
220;2675;Cordoba;Santa Victoria
221;2677;Cordoba;Ucacha
222;2679;Cordoba;Campo Sol De Mayo
223;2679;Cordoba;Pascanas
224;2681;Cordoba;Etruria
225;2684;Cordoba;Los Cisnes
226;2684;Cordoba;Olmos
227;2685;Cordoba;Colonia Maipu
228;2686;Cordoba;Alejandro
229;2686;Cordoba;Alejandro Roca
230;2700;Cordoba;Doce De Agosto
231;2700;Cordoba;Mtles Grandes
232;2700;Cordoba;Tambo Nuevo
233;4296;Cordoba;Caminiaga
234;4298;Cordoba;Cerro Colorado
235;4525;Cordoba;Paso Viejo
236;4686;Cordoba;Lozada
237;4687;Cordoba;Malagueno
238;4752;Cordoba;Rafael Garcia
239;4784;Cordoba;Malvinas Argentinas
240;4788;Cordoba;Piquillin
241;4792;Cordoba;El Eje
242;4800;Cordoba;Santa Rosa
243;4819;Cordoba;Esquina
